Tablatura do Caos YeYe,,
,,
CHORD,STRIKE,00:06:000
CHORD,STRIKE,00:06:500
METAL,STRIKE,00:08:000
WOOD,STRIKE,00:08:500
METAL,STRIKE,00:09:000
WOOD,STRIKE,00:09:500
METAL,STRIKE,00:12:300
WOOD,STRIKE,00:12:600
METAL,STRIKE,00:13:300
WOOD,STRIKE,00:13:600
WOOD,STRIKE,00:13:900
METAL,STRIKE,00:14:400
METAL,STRIKE,00:14:800
WOOD,AVOID,00:15:800
CHORD,STRIKE,00:16:300
METAL,STRIKE,00:16:300
CHORD,STRIKE,00:16:700
METAL,STRIKE,00:16:700
PERCUSSION,STRIKE,00:17:400
PERCUSSION,STRIKE,00:17:700
PERCUSSION,STRIKE,00:17:800
PERCUSSION,STRIKE,00:18:000
METAL,STRIKE,00:18:400
WOOD,STRIKE,00:18:400
PERCUSSION,STRIKE,00:18:700
PERCUSSION,STRIKE,00:18:800
WOOD,STRIKE,00:19:000
WOOD,STRIKE,00:19:200
METAL,STRIKE,00:19:400
WOOD,STRIKE,00:19:400
PERCUSSION,STRIKE,00:19:700
PERCUSSION,STRIKE,00:19:800
WOOD,STRIKE,00:20:000
WOOD,STRIKE,00:20:200
METAL,STRIKE,00:20:400
WOOD,STRIKE,00:20:400
PERCUSSION,STRIKE,00:20:700
PERCUSSION,STRIKE,00:20:800
WOOD,STRIKE,00:21:000
WOOD,STRIKE,00:21:200
PERCUSSION,AVOID,00:21:200
METAL,STRIKE,00:21:400
WOOD,STRIKE,00:21:400
PERCUSSION,STRIKE,00:21:700
WOOD,AVOID,00:21:800
PERCUSSION,STRIKE,00:21:800
WOOD,STRIKE,00:22:000
WOOD,STRIKE,00:22:200
PERCUSSION,AVOID,00:22:200
METAL,STRIKE,00:22:400
WOOD,STRIKE,00:22:400
PERCUSSION,STRIKE,00:22:700
PERCUSSION,STRIKE,00:22:800
WOOD,STRIKE,00:23:000
WOOD,STRIKE,00:23:200
METAL,STRIKE,00:23:400
WOOD,STRIKE,00:23:400
PERCUSSION,STRIKE,00:23:700
PERCUSSION,STRIKE,00:23:800
WOOD,STRIKE,00:24:000
WOOD,STRIKE,00:24:200
WOOD,STRIKE,00:24:400
METAL,STRIKE,00:24:600
METAL,STRIKE,00:24:900
PERCUSSION,STRIKE,00:25:500
METAL,STRIKE,00:25:500
PERCUSSION,STRIKE,00:25:800
METAL,STRIKE,00:25:800
PERCUSSION,STRIKE,00:26:500
PERCUSSION,STRIKE,00:26:800
METAL,AVOID,00:27:000
PERCUSSION,STRIKE,00:27:500
METAL,STRIKE,00:27:500
PERCUSSION,STRIKE,00:27:800
METAL,STRIKE,00:27:800
CHORD,STRIKE,00:28:600
METAL,STRIKE,00:28:600
PERCUSSION,STRIKE,00:29:100
PERCUSSION,STRIKE,00:29:400
CHORD,STRIKE,00:29:800
METAL,STRIKE,00:29:800
PERCUSSION,STRIKE,00:30:000
PERCUSSION,STRIKE,00:30:300
CHORD,STRIKE,00:30:800
METAL,STRIKE,00:30:800
PERCUSSION,STRIKE,00:31:300
PERCUSSION,STRIKE,00:31:600
CHORD,STRIKE,00:31:800
METAL,STRIKE,00:31:800
PERCUSSION,STRIKE,00:32:300
PERCUSSION,STRIKE,00:32:600
CHORD,STRIKE,00:32:800
METAL,STRIKE,00:32:800
PERCUSSION,STRIKE,00:33:300
CHORD,STRIKE,00:33:500
METAL,STRIKE,00:33:500
PERCUSSION,STRIKE,00:34:300
CHORD,STRIKE,00:34:500
METAL,STRIKE,00:34:500
PERCUSSION,STRIKE,00:35:700
METAL,STRIKE,00:35:700
PERCUSSION,STRIKE,00:35:900
METAL,STRIKE,00:35:900
PERCUSSION,STRIKE,00:36:100
METAL,STRIKE,00:36:100
CHORD,STRIKE,00:36:700
METAL,STRIKE,00:36:700
PERCUSSION,STRIKE,00:37:200
PERCUSSION,STRIKE,00:37:500
CHORD,STRIKE,00:37:900
METAL,STRIKE,00:37:900
CHORD,STRIKE,00:38:300
METAL,STRIKE,00:38:300
PERCUSSION,STRIKE,00:38:800
PERCUSSION,STRIKE,00:39:100
CHORD,STRIKE,00:39:500
METAL,STRIKE,00:39:500
PERCUSSION,STRIKE,00:40:000
PERCUSSION,STRIKE,00:40:300
CHORD,STRIKE,00:41:000
METAL,STRIKE,00:41:000
CHORD,STRIKE,00:41:300
METAL,STRIKE,00:42:300
CHORD,STRIKE,00:42:800
WOOD,STRIKE,00:43:000
WOOD,STRIKE,00:43:300
WOOD,STRIKE,00:43:700
WOOD,STRIKE,00:44:100
CHORD,AVOID,00:44:100
WOOD,STRIKE,00:44:500
WOOD,STRIKE,00:45:300
CHORD,STRIKE,00:45:500
CHORD,STRIKE,00:45:600
CHORD,STRIKE,00:45:700
WOOD,STRIKE,00:46:300
CHORD,STRIKE,00:46:500
CHORD,STRIKE,00:46:600
CHORD,STRIKE,00:46:700
WOOD,STRIKE,00:47:300
CHORD,STRIKE,00:47:500
CHORD,STRIKE,00:47:600
CHORD,STRIKE,00:47:700
WOOD,STRIKE,00:48:300
CHORD,STRIKE,00:48:500
CHORD,STRIKE,00:48:600
CHORD,STRIKE,00:48:700
WOOD,STRIKE,00:49:300
CHORD,STRIKE,00:49:500
CHORD,STRIKE,00:49:600
CHORD,STRIKE,00:49:700
WOOD,STRIKE,00:51:400
WOOD,STRIKE,00:51:700
CHORD,STRIKE,00:52:500
CHORD,STRIKE,00:52:600
CHORD,STRIKE,00:52:700
WOOD,STRIKE,00:53:000
CHORD,STRIKE,00:53:500
CHORD,STRIKE,00:53:600
CHORD,STRIKE,00:53:700
CHORD,STRIKE,00:54:500
CHORD,STRIKE,00:54:600
CHORD,STRIKE,00:54:700
WOOD,STRIKE,00:55:000
CHORD,STRIKE,00:55:500
WOOD,STRIKE,00:55:500
CHORD,STRIKE,00:55:600
CHORD,STRIKE,00:55:700
WOOD,STRIKE,00:55:700
CHORD,STRIKE,00:56:500
CHORD,STRIKE,00:56:600
CHORD,STRIKE,00:56:700
CHORD,STRIKE,00:57:300
METAL,STRIKE,01:01:400
WOOD,STRIKE,01:01:400
PERCUSSION,STRIKE,01:01:700
PERCUSSION,STRIKE,01:01:800
WOOD,STRIKE,01:02:000
WOOD,STRIKE,01:02:200
METAL,STRIKE,01:02:400
WOOD,STRIKE,01:02:400
PERCUSSION,STRIKE,01:02:700
PERCUSSION,STRIKE,01:02:800
WOOD,STRIKE,01:03:000
WOOD,STRIKE,01:03:200
METAL,STRIKE,01:03:400
WOOD,STRIKE,01:03:400
PERCUSSION,STRIKE,01:03:700
PERCUSSION,STRIKE,01:03:800
WOOD,STRIKE,01:04:000
WOOD,STRIKE,01:04:200
PERCUSSION,AVOID,01:04:200
METAL,STRIKE,01:04:400
WOOD,STRIKE,01:04:400
PERCUSSION,STRIKE,01:04:700
WOOD,AVOID,01:04:800
PERCUSSION,STRIKE,01:04:800
WOOD,STRIKE,01:05:000
WOOD,STRIKE,01:05:200
PERCUSSION,AVOID,01:05:200
METAL,STRIKE,01:05:400
WOOD,STRIKE,01:05:400
PERCUSSION,STRIKE,01:05:700
PERCUSSION,STRIKE,01:05:800
WOOD,STRIKE,01:06:000
WOOD,STRIKE,01:06:200
METAL,STRIKE,01:06:400
WOOD,STRIKE,01:06:400
PERCUSSION,STRIKE,01:06:700
PERCUSSION,STRIKE,01:06:800
WOOD,STRIKE,01:07:000
WOOD,STRIKE,01:07:200
WOOD,STRIKE,01:07:400
METAL,STRIKE,01:07:600
METAL,STRIKE,01:10:400
WOOD,STRIKE,01:10:400
PERCUSSION,STRIKE,01:10:700
PERCUSSION,STRIKE,01:10:800
WOOD,STRIKE,01:11:000
WOOD,STRIKE,01:11:200
